lat4,lon4,month,sif4,lat3,lon3,sif3,lat2,lon2,sif2,lat1,lon1,sif1
21.25,70.25,2007-01,-0.291404247,21.25,70.75,0.02369637,21.75,70.25,-0.018249054,21.75,70.75,-0.084352262
21.25,70.25,2007-02,0.020312902,21.25,70.75,0.224304244,21.75,70.25,0.211910859,21.75,70.75,0.0716611
21.25,70.25,2007-03,-0.236412033,21.25,70.75,-0.104483865,21.75,70.25,0.352892965,21.75,70.75,0.067819081
21.25,70.25,2007-04,0.082530715,21.25,70.75,0.23491931,21.75,70.25,0.366104066,21.75,70.75,-0.142832533
21.25,70.25,2007-05,-0.133461505,21.25,70.75,-0.116941445,21.75,70.25,0.317681968,21.75,70.75,0.328565091
21.25,70.25,2007-06,0.006919461,21.25,70.75,-0.148938775,21.75,70.25,0.369705051,21.75,70.75,0.06100468
21.25,70.25,2007-07,0.006565672,21.25,70.75,-0.228054538,21.75,70.25,0.225827143,21.75,70.75,0.07684093
21.25,70.25,2007-08,0.466726542,21.25,70.75,-0.179131359,21.75,70.25,-0.540852368,21.75,70.75,0.963856101
21.25,70.25,2007-09,0.172773927,21.25,70.75,-0.007376109,21.75,70.25,0.127157167,21.75,70.75,0.635814488
21.25,70.25,2007-10,-0.076247267,21.25,70.75,0.029600874,21.75,70.25,-0.002424114,21.75,70.75,0.28443113
21.25,70.25,2007-11,-0.081532195,21.25,70.75,-0.003465338,21.75,70.25,-0.063627906,21.75,70.75,0.021281894
21.25,70.25,2007-12,-0.028708676,21.25,70.75,-0.129339099,21.75,70.25,0.030229026,21.75,70.75,0.108410656
21.25,70.25,2008-01,-0.053061321,21.25,70.75,0.081449173,21.75,70.25,-0.128648177,21.75,70.75,-0.050468881
21.25,70.25,2008-02,-0.112926297,21.25,70.75,-0.13486661,21.75,70.25,0.167536035,21.75,70.75,0.245513275
21.25,70.25,2008-03,0.190896451,21.25,70.75,0.073861651,21.75,70.25,-0.118530191,21.75,70.75,0.108753085
21.25,70.25,2008-04,0.215694129,21.25,70.75,-0.08995305,21.75,70.25,0.099243388,21.75,70.75,0.325371951
21.25,70.25,2008-05,-0.142761245,21.25,70.75,-0.0344868,21.75,70.25,0.377793401,21.75,70.75,0.34512493
21.25,70.25,2008-06,0.007731183,21.25,70.75,-0.145783886,21.75,70.25,-0.180689216,21.75,70.75,-0.146068856
21.25,70.25,2008-07,-0.30658558,21.25,70.75,-0.113880269,21.75,70.25,-0.209072515,21.75,70.75,0.427849829
21.25,70.25,2008-08,0.026716229,21.25,70.75,-0.268806577,21.75,70.25,-0.235023215,21.75,70.75,0.583825827
21.25,70.25,2008-09,-0.190340713,21.25,70.75,0.161104143,21.75,70.25,0.168364674,21.75,70.75,0.495790094
21.25,70.25,2008-10,-0.146235853,21.25,70.75,0.047546908,21.75,70.25,-0.056703437,21.75,70.75,0.211827129
21.25,70.25,2008-11,0.104708679,21.25,70.75,0.047753412,21.75,70.25,0.254695386,21.75,70.75,0.100265756
21.25,70.25,2008-12,0.103235096,21.25,70.75,-0.150689811,21.75,70.25,0.29912886,21.75,70.75,0.106031641
21.25,70.25,2009-01,0.028469,21.25,70.75,-0.215892091,21.75,70.25,-0.023228822,21.75,70.75,0.098480001
21.25,70.25,2009-02,-0.099438876,21.25,70.75,0.13911742,21.75,70.25,0.114698455,21.75,70.75,0.15904893
21.25,70.25,2009-03,-0.025594186,21.25,70.75,-0.15582788,21.75,70.25,0.098860882,21.75,70.75,-0.015741859
21.25,70.25,2009-04,-0.005345647,21.25,70.75,0.072918832,21.75,70.25,0.300517738,21.75,70.75,0.226072282
21.25,70.25,2009-05,-0.009073214,21.25,70.75,0.109348722,21.75,70.25,-0.065644413,21.75,70.75,0.066292986
21.25,70.25,2009-06,0.043281134,21.25,70.75,-0.017653486,21.75,70.25,0.041352943,21.75,70.75,0.133254841
21.25,70.25,2009-07,0.699094951,21.25,70.75,0.023548471,21.75,70.25,0.503046036,21.75,70.75,-0.00383746
21.25,70.25,2009-08,-0.012321793,21.25,70.75,-0.142049238,21.75,70.25,0.41110757,21.75,70.75,0.180379316
21.25,70.25,2009-09,-0.036519747,21.25,70.75,0.13003926,21.75,70.25,0.333655506,21.75,70.75,0.226794869
21.25,70.25,2009-10,-0.06661126,21.25,70.75,0.167131722,21.75,70.25,0.166376978,21.75,70.75,0.074069813
21.25,70.25,2009-11,0.103689529,21.25,70.75,-0.041104462,21.75,70.25,-0.279136419,21.75,70.75,0.049132243
21.25,70.25,2009-12,-0.079784848,21.25,70.75,0.010207394,21.75,70.25,0.160426527,21.75,70.75,-0.233550578
21.25,70.25,2010-01,-0.073035985,21.25,70.75,-0.074537762,21.75,70.25,-0.081059508,21.75,70.75,0.044447463
21.25,70.25,2010-02,-0.120242782,21.25,70.75,-0.181359768,21.75,70.25,-0.163653105,21.75,70.75,0.076507062
21.25,70.25,2010-03,0.210851401,21.25,70.75,0.013336402,21.75,70.25,-0.059943881,21.75,70.75,0.120466195
21.25,70.25,2010-04,0.084216505,21.25,70.75,-0.230719477,21.75,70.25,0.311202615,21.75,70.75,0.192310721
21.25,70.25,2010-05,-0.140604794,21.25,70.75,0.122939914,21.75,70.25,0.129475117,21.75,70.75,-0.070896603
21.25,70.25,2010-06,0.11368525,21.25,70.75,0.263753802,21.75,70.25,-0.053554505,21.75,70.75,0.083546251
21.25,70.25,2010-07,0.005428979,21.25,70.75,-0.01631326,21.75,70.25,-0.141797394,21.75,70.75,-0.031945121
21.25,70.25,2010-08,-0.177076668,21.25,70.75,0.076647148,21.75,70.25,-0.202947989,21.75,70.75,-0.434619844
21.25,70.25,2010-09,-0.145628229,21.25,70.75,-0.172300935,21.75,70.25,0.415815026,21.75,70.75,0.253467053
21.25,70.25,2010-10,0.02218467,21.25,70.75,0.109333761,21.75,70.25,0.167903885,21.75,70.75,0.345505089
21.25,70.25,2010-11,-0.205605552,21.25,70.75,-0.159990713,21.75,70.25,0.010631718,21.75,70.75,-0.03077494
21.25,70.25,2010-12,-0.09015476,21.25,70.75,0.058064945,21.75,70.25,0.359031349,21.75,70.75,0.123329997
21.25,70.25,2011-01,0.138913348,21.25,70.75,0.205986783,21.75,70.25,0.168443814,21.75,70.75,0.144713715
21.25,70.25,2011-02,-0.109555081,21.25,70.75,-0.04813914,21.75,70.25,-0.082087316,21.75,70.75,0.131984785
21.25,70.25,2011-03,0.09020891,21.25,70.75,0.175112635,21.75,70.25,0.111926861,21.75,70.75,-0.25448063
21.25,70.25,2011-04,0.038929477,21.25,70.75,0.129088134,21.75,70.25,0.247876048,21.75,70.75,-0.062531233
21.25,70.25,2011-05,0.309024394,21.25,70.75,0.094503783,21.75,70.25,0.12646392,21.75,70.75,-0.215751097
