"DATE","SIF_740","PREC","TEMP","PET","WET"
"2007-01","0.0137335546314716","0","22.3","4.3","0"
"2007-02","0.275965332984924","4.4","23.9","4.9","0"
"2007-03","0.0289188176393509","0","26.1","5.7","0"
"2007-04","-0.0242201369255781","0","28.5","6.1","0"
"2007-05","0.0961217805743217","0.1","30","6.2","0"
"2007-06","-0.170411080121994","219.6","30.4","5.3","8"
"2007-07","-0.89720231294632","223","29.1","3.9","13"
"2007-08","0.915004193782806","113","27.9","3.7","14"
"2007-09","0.856589674949646","232.7","28.3","3.8","10"
"2007-10","0.233541414141655","0","28.4","5","0"
"2007-11","0.114226825535297","0.5","26.9","4.6","0"
"2007-12","0.47237828373909","0","23.4","4.1","0"
"2008-01","0.231801122426987","0","20.5","4.1","0"
"2008-02","0.32983523607254","0.6","20.6","4.5","0"
"2008-03","0.314640283584595","0","25.7","5.5","0"
"2008-04","0.212555423378944","0","27.5","5.9","0"
"2008-05","0.0667029321193695","0","29.4","6.1","0"
"2008-06","0.0695908069610596","147.9","29.5","4.8","8"
"2008-07","0.528966128826141","505.5","28.4","3.9","13"
"2008-08","0.347105652093887","84.9","27.2","3.5","9"
"2008-09","0.637082695960999","266.6","27.9","3.8","9"
"2008-10","0.199579566717148","0.1","28.8","5.2","0"
"2008-11","0.159128621220589","2.3","26.6","4.5","1"
"2008-12","0.396394580602646","2.3","24.4","4.2","0"
"2009-01","NaN","0","23.1","4.3","0"
"2009-02","0.165614306926727","0","24.3","4.9","0"
"2009-03","0.149947285652161","0","26.7","5.8","0"
"2009-04","0.130311354994774","0","28","5.7","0"
"2009-05","0.0857134684920311","0","30.1","5.9","0"
"2009-06","-0.0327835790812969","267.9","30.5","5.7","7"
"2009-07","0.590603649616241","679.5","28.4","3.7","16"
"2009-08","0.767989456653595","102.2","28.7","3.8","5"
"2009-09","0.636920928955078","16.8","28.7","4.3","2"
"2009-10","0.467869371175766","1.6","28.3","5","0"
"2009-11","0.219527766108513","41.5","26.5","4.4","2"
"2009-12","0.0633340179920197","0","24","4.2","0"
"2010-01","NaN","0","22.6","4.3","0"
"2010-02","0.0311546791344881","0.6","23.3","4.8","0"
"2010-03","-0.0221331398934126","0","27.3","5.9","0"
"2010-04","0.133160993456841","0","29.1","6","0"
"2010-05","0.114233657717705","0","30.4","6.2","0"
"2010-06","0.0489571802318096","80.9","30.5","5.4","6"
"2010-07","0.536750972270966","618.7","28.6","3.9","17"
"2010-08","0.645069241523743","581.9","27.9","3.6","14"
"2010-09","0.429229199886322","218.2","27.6","3.7","11"
"2010-10","0.31965383887291","17.6","29.2","5","1"
"2010-11","0.460705757141113","140.4","26.6","4.6","6"
"2010-12","0.23926605284214","0","22","4","0"
"2011-01","0.572480142116547","0","21","4","0"
"2011-02","0.465233117341995","0.9","22.7","4.6","0"
"2011-03","0.306428700685501","0","26.1","5.8","0"
"2011-04","0.0654962807893753","0","27.4","5.8","0"
"2011-05","0.0894808992743492","0","29.5","6","0"
"2011-06","0.378811806440353","241.7","29.7","4.9","9"
"2011-07","0.125376611948013","302.2","28.2","3.8","12"
"2011-08","-0.162372276186943","273.1","27.5","3.4","9"
"2011-09","0.639137327671051","96.9","27.5","3.7","7"
"2011-10","0.376434743404388","0.4","28.8","5","0"
"2011-11","0.34384223818779","0.5","27.8","4.7","0"
"2011-12","0.0868755728006363","0","23.8","4.3","0"
"2012-01","-0.117221713066101","0","20.6","4.1","0"
"2012-02","0.0747678130865097","0","21.7","4.6","0"
"2012-03","-0.0732138305902481","0","24.8","5.5","0"
"2012-04","0.12737812101841","0","27.9","5.8","0"
"2012-05","-0.0235875882208347","0","29.3","6","0"
"2012-06","-0.232154846191406","29","30.3","5.6","3"
"2012-07","0.490350782871246","63.9","29","3.8","8"
"2012-08","0.00596683565527201","54.9","27.8","3.5","7"
"2012-09","0.530581533908844","165.5","27.6","3.8","11"
"2012-10","0.329196065664291","0.8","28.6","4.9","0"
"2012-11","0.186350122094154","0","25.9","4.5","0"
